State,Event,Natural
,,
Andhra Pradesh,21,18
Arunachal Pradesh,26,18
Assam,24,19
Bihar,17,24
Chattisgarh,23,24
Goa,25,24
Gujarat,23,20
Haryana,24,26
Himachal Pradesh,25,18
Jharkhand,19,24
Karnataka,24,21
Kerala,21,18
Madhya Pradesh,25,22
Maharashtra,20,21
Manipur,23,18
Meghalaya,22,18
Mizoram,24,19
Nagaland,27,20
Odisha,24,18
Punjab,23,23
Rajasthan,21,27
Sikkim,24,19
Tamil Nadu,21,19
Telangana,23,20
Tripura,24,18
Uttarakhand,22,19
Uttar Pradesh,22,24
West Bengal,24,16
New Delhi,16,26
Daman and Diu,23,21
Puducherry,24,23
Dadra and Nagar Haveli,24,22
Ladakh,24,18
Chandigarh,20,26
Lakshadweep,26,23
Andaman and Nicobar,25,18
Jammu and Kashmir,24,18
